"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"28",28,NA,"US Lecce",564,123,161,280,"580:946",-366,530,"Latest news »"
"29",29,NA,"Ascoli Calcio",508,110,190,208,"425:629",-204,520,"Latest news »"
"30",30,NA,"US Alessandria 1912",440,136,110,194,"564:715",-151,518,"Latest news »"
"31",31,NA,"AC Perugia Calcio",418,126,140,152,"476:554",-78,513,"Latest news »"
"32",32,NA,"Empoli FC",489,126,135,228,"495:725",-230,508,"Latest news »"
"33",33,NA,"Novara Calcio",446,133,107,206,"545:705",-160,506,"Latest news »"
"34",34,NA,"Calcio Como",426,109,134,183,"411:572",-161,461,"Latest news »"
"35",35,NA,"Aurora Pro Patria",430,118,102,210,"526:784",-258,456,"Latest news »"
"36",36,NA,"Venezia FC",452,103,123,226,"456:715",-259,432,"Latest news »"
"37",37,NA,"Sassuolo Calcio",331,110,95,126,"459:515",-56,425,"Latest news »"
"38",38,NA,"Foggia Calcio",358,95,120,143,"360:477",-117,399,"Latest news »"
"39",39,NA,"AC Cesena",426,80,159,187,"364:570",-206,399,"Latest news »"
"40",40,NA,"ACN Siena 1904",358,85,116,157,"369:508",-139,364,"Latest news »"
"41",41,NA,"Reggina 1914",326,83,107,136,"324:467",-143,345,"Latest news »"
"42",42,NA,"US Avellino",300,79,111,110,"268:338",-70,343,"Latest news »"
"43",43,NA,"Lucchese",282,80,84,118,"347:470",-123,324,"Latest news »"
"44",44,NA,"Piacenza Calcio",272,65,88,119,"281:373",-92,283,"Latest news »"
"45",45,NA,"Pro Vercelli",200,65,41,94,"251:323",-72,236,"Latest news »"
"46",46,NA,"Mantova 1911 SSD",230,48,88,94,"182:266",-84,232,"Latest news »"
"47",47,NA,"AC Pisa",218,42,77,99,"174:275",-101,203,"Latest news »"
"48",48,NA,"US Catanzaro",210,38,88,84,"156:253",-97,202,"Latest news »"
"49",49,NA,"US Cremonese",234,43,72,119,"222:367",-145,201,"Latest news »"
"50",50,NA,"Pescara Calcio",254,42,66,146,"232:441",-209,192,"Latest news »"
"51",51,NA,"AS Varese 1910",218,36,83,99,"164:286",-122,191,"Latest news »"
"52",52,NA,"AC Liguria",150,44,39,67,"168:242",-74,171,"Latest news »"
"53",53,NA,"ACR Messina",182,39,54,89,"165:270",-105,171,"Latest news »"
"54",54,NA,"Casale",136,33,24,79,"148:297",-149,123,"Latest news »"
"55",55,NA,"US Salernitana 1919",120,31,26,63,"123:207",-84,119,"Latest news »"
"56",56,NA,"Sampierdarenese",116,28,33,55,"111:190",-79,117,"Latest news »"
"57",57,NA,"Calcio Lecco 1912",104,20,32,52,"91:164",-73,92,"Latest news »"
"58",58,NA,"FC Crotone",114,24,20,70,"119:216",-97,92,"Latest news »"
"59",59,NA,"AC Reggiana 1919",102,16,30,56,"81:160",-79,78,"Latest news »"
"60",60,NA,"Legnano",106,16,29,61,"111:213",-102,77,"Latest news »"
"61",61,NA,"Spezia Calcio",65,16,17,32,"80:121",-41,65,"Latest news »"
"62",62,NA,"Frosinone Calcio",76,13,17,46,"64:145",-81,56,"Latest news »"
"63",63,NA,"Benevento Calcio",76,13,15,48,"73:159",-86,54,"Latest news »"
"64",64,NA,"AC Ancona",88,11,17,60,"72:184",-112,50,"Latest news »"
"65",65,NA,"Ternana Calcio",60,7,21,32,"33:79",-46,42,"Latest news »"
"66",66,NA,"Carpi FC",38,9,11,18,"37:57",-20,38,"Latest news »"
"67",67,NA,"Andrea Doria",26,7,8,11,"25:34",-9,29,"Latest news »"
"68",68,NA,"US Pistoiese",30,6,4,20,"19:46",-27,22,"Latest news »"
"69",69,NA,"A.C.D. Treviso",38,3,12,23,"24:56",-32,21,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"FC København",986,543,239,204,"1993:1164",829,1868,"Latest news »"
"2",2,NA,"Brøndby IF",1035,517,257,261,"2020:1313",707,1808,"Latest news »"
"3",3,NA,"Aalborg BK",1031,416,288,327,"1710:1489",221,1536,"Latest news »"
"4",4,NA,"Odense BK",986,382,264,340,"1616:1457",159,1410,"Latest news »"
"5",5,NA,"FC Midtjylland",725,365,165,195,"1473:997",476,1260,"Latest news »"
"6",6,NA,"Aarhus GF",934,313,248,373,"1466:1571",-105,1187,"Latest news »"
"7",7,NA,"Silkeborg IF",791,254,230,307,"1171:1317",-146,992,"Latest news »"
"8",8,NA,"FC Nordsjælland",657,241,160,256,"1171:1154",17,883,"Latest news »"
"9",9,NA,"Esbjerg fB",595,196,158,241,"903:1010",-107,746,"Latest news »"
"10",10,NA,"Lyngby BK",610,193,156,261,"926:1169",-243,735,"Latest news »"
"11",11,NA,"Randers FC",522,174,150,198,"787:867",-80,672,"Latest news »"
"12",12,NA,"Viborg FF",532,162,137,233,"756:914",-158,623,"Latest news »"
"13",13,NA,"SønderjyskE",519,150,136,233,"782:1004",-222,586,"Latest news »"
"14",14,NA,"AC Horsens",397,110,119,168,"562:806",-244,449,"Latest news »"
"15",15,NA,"Vejle BK",383,104,103,176,"525:730",-205,415,"Latest news »"
"16",16,NA,"AB Gladsaxe",264,91,75,98,"384:382",2,339,"Latest news »"
"17",17,NA,"Herfølge BK",264,79,65,120,"331:451",-120,302,"Latest news »"
"18",18,NA,"Hobro IK",166,39,49,78,"260:380",-120,166,"Latest news »"
"19",19,NA,"Næstved BK",147,31,41,75,"191:317",-126,134,"Latest news »"
"20",20,NA,"Ikast FS",134,27,36,71,"157:257",-100,117,"Latest news »"
"21",21,NA,"BK Frem København",101,28,30,43,"133:167",-34,114,"Latest news »"
"22",22,NA,"B 1903 København",50,22,11,17,"74:55",19,77,"Latest news »"
"23",23,NA,"Slagelse B&I",66,17,20,29,"62:94",-32,71,"Latest news »"
"24",24,NA,"Aarhus Fremad",66,16,14,36,"102:146",-44,62,"Latest news »"
"25",25,NA,"HB Køge",66,8,14,44,"62:140",-78,38,"Latest news »"
"26",26,NA,"Vendsyssel FF",32,6,11,15,"56:90",-34,29,"Latest news »"
"27",27,NA,"Køge BK",33,8,3,22,"45:82",-37,27,"Latest news »"
"28",28,NA,"FC Helsingør",32,8,3,21,"50:113",-63,27,"Latest news »"
"29",29,NA,"Hvidovre IF",33,5,11,17,"39:59",-20,26,"Latest news »"
"30",30,NA,"FC Amager",18,4,0,14,"21:47",-26,12,"Latest news »"
"31",31,NA,"B.93 København",33,3,3,27,"22:80",-58,12,"Latest news »"
"32",32,NA,"B 1909 Odense",18,0,6,12,"15:42",-27,6,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Malmö FF",2148,1073,542,532,"3854:2507",1347,3761,"Latest news »"
"2",2,NA,"IFK Göteborg",2205,1041,532,632,"4038:2922",1116,3655,"Latest news »"
"3",3,NA,"AIK Solna",2277,989,595,693,"3760:3010",750,3562,"Latest news »"
"4",4,NA,"IFK Norrköping",1996,872,491,631,"3505:2835",670,3107,"Latest news »"
"5",5,NA,"IF Elfsborg",1912,780,476,656,"3198:2915",283,2816,"Latest news »"
"6",6,NA,"Helsingborgs IF",1653,722,359,572,"3033:2565",468,2525,"Latest news »"
"7",7,NA,"Djurgårdens IF",1657,690,407,560,"2631:2293",338,2477,"Latest news »"
"8",8,NA,"Örgryte IS",1316,490,322,504,"2169:2068",101,1792,"Latest news »"
"9",9,NA,"Halmstads BK",1385,472,365,548,"1913:2107",-194,1781,"Latest news »"
"10",10,NA,"Örebro SK",1352,472,347,533,"1825:2030",-205,1763,"Latest news »"
"11",11,NA,"Hammarby IF",1334,474,319,540,"1993:2150",-157,1738,"Latest news »"
"12",12,NA,"GAIS Göteborg",1255,464,295,496,"1971:2032",-61,1687,"Latest news »"
"13",13,NA,"Kalmar FF",912,322,241,349,"1144:1267",-123,1207,"Latest news »"
"14",14,NA,"Östers IF",816,304,236,276,"1201:1048",153,1148,"Latest news »"
"15",15,NA,"Landskrona BoIS",800,261,194,345,"1207:1501",-294,977,"Latest news »"
"16",16,NA,"Degerfors IF",688,243,161,284,"1056:1153",-97,890,"Latest news »"
"17",17,NA,"BK Häcken",594,213,161,220,"882:835",47,800,"Latest news »"
"18",18,NA,"Åtvidabergs FF",512,177,118,217,"713:766",-53,649,"Latest news »"
"19",19,NA,"Sandvikens IF",471,164,82,225,"775:948",-173,574,"Latest news »"
"20",20,NA,"Trelleborgs FF",486,138,121,227,"575:795",-220,535,"Latest news »"
"21",21,NA,"IK Brage",414,127,112,175,"499:666",-167,493,"Latest news »"
"22",22,NA,"GIF Sundsvall",498,111,146,241,"551:836",-285,479,"Latest news »"
"23",23,NA,"IK Sleipner",352,137,61,154,"702:738",-36,472,"Latest news »"
"24",24,NA,"Gefle IF",434,116,119,199,"488:710",-222,467,"Latest news »"
"25",25,NA,"IFK Malmö",297,90,63,144,"428:619",-191,333,"Latest news »"
"26",26,NA,"IFK Eskilstuna",317,86,59,172,"560:850",-290,317,"Latest news »"
"27",27,NA,"Mjällby AIF",280,81,73,126,"316:404",-88,316,"Latest news »"
"28",28,NA,"Jönköpings Södra IF",280,81,71,128,"392:568",-176,314,"Latest news »"
"29",29,NA,"Västra Frölunda",240,64,65,111,"266:395",-129,257,"Latest news »"
"30",30,NA,"IK Sirius",224,61,55,108,"263:401",-138,238,"Latest news »"
"31",31,NA,"IS Halmia",244,61,48,135,"351:539",-188,231,"Latest news »"
"32",32,NA,"Östersunds FK",180,56,45,79,"221:274",-53,213,"Latest news »"
"33",33,NA,"Gårda BK",176,53,52,71,"233:324",-91,211,"Latest news »"
"34",34,NA,"IF Brommapojkarna",176,38,38,100,"159:324",-165,152,"Latest news »"
"35",35,NA,"IFK Sundsvall",130,36,37,57,"161:236",-75,145,"Latest news »"
"36",36,NA,"Falkenbergs FF",150,29,30,91,"158:305",-147,117,"Latest news »"
"37",37,NA,"Västerås SK",96,23,17,56,"101:217",-116,86,"Latest news »"
"38",38,NA,"Syrianska FC",90,20,16,54,"88:153",-65,76,"Latest news »"
"39",39,NA,"Varbergs BoIS",60,19,17,24,"80:82",-2,74,"Latest news »"
"40",40,NA,"Råå IF",44,16,8,20,"66:85",-19,56,"Latest news »"
"41",41,NA,"Ljungskile SK",56,11,11,34,"54:109",-55,44,"Latest news »"
"42",42,NA,"AFC Eskilstuna",60,8,16,36,"51:110",-59,40,"Latest news »"
"43",43,NA,"Westermalms IF",44,10,7,27,"69:120",-51,37,"Latest news »"
"44",44,NA,"Umeå FC",26,8,6,12,"35:45",-10,30,"Latest news »"
"45",45,NA,"IFK Uddevalla",44,6,12,26,"58:114",-56,30,"Latest news »"
"46",46,NA,"Hallstahammars SK",44,6,12,26,"56:114",-58,30,"Latest news »"
"47",47,NA,"Stattena IF",44,8,4,32,"58:155",-97,28,"Latest news »"
"48",48,NA,"Motala AIF",33,6,7,20,"35:68",-33,25,"Latest news »"
"49",49,NA,"Dalkurd FF",30,6,6,18,"30:57",-27,24,"Latest news »"
"50",50,NA,"Redbergslids IK",22,5,5,12,"35:60",-25,20,"Latest news »"
"51",51,NA,"Ludvika FK",22,6,2,14,"30:56",-26,20,"Latest news »"
"52",52,NA,"IK Oddevold",26,5,4,17,"20:43",-23,19,"Latest news »"
"53",53,NA,"IFK Luleå",22,4,6,12,"20:44",-24,18,"Latest news »"
"54",54,NA,"IF Saab",26,4,6,16,"26:53",-27,18,"Latest news »"
"55",55,NA,"Reymersholms IK",22,4,4,14,"27:57",-30,16,"Latest news »"
"56",56,NA,"Norrby IF",22,3,6,13,"30:52",-22,15,"Latest news »"
"57",57,NA,"BK Derby",26,3,6,17,"18:53",-35,15,"Latest news »"
"58",58,NA,"Assyriska FF",26,4,2,20,"17:52",-35,14,"Latest news »"
"59",59,NA,"Brynäs IF",26,2,8,16,"27:63",-36,14,"Latest news »"
"60",60,NA,"Enköpings SK FK",26,3,5,18,"22:59",-37,14,"Latest news »"
"61",61,NA,"Högadals IS",22,3,3,16,"24:56",-32,12,"Latest news »"
"62",62,NA,"Västerås IK",22,2,5,15,"21:66",-45,11,"Latest news »"
"63",63,NA,"IFK Holmsund",22,3,1,18,"24:79",-55,10,"Latest news »"
"64",64,NA,"Sandvikens AIK",22,2,1,19,"24:72",-48,7,"Latest news »"
"65",65,NA,"Eskilstuna City FK",22,1,4,17,"32:83",-51,7,"Latest news »"
"66",66,NA,"Billingsfors IK",22,0,3,19,"28:84",-56,3,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Fenerbahçe",2111,1198,554,359,"3727:1857",1870,4148,"Latest news »"
"2",2,NA,"Galatasaray",2112,1188,535,389,"3709:1867",1842,4099,"Latest news »"
"3",3,NA,"Besiktas",2109,1144,572,393,"3464:1815",1649,4004,"Latest news »"
"4",4,NA,"Trabzonspor",1601,802,439,360,"2493:1554",939,2845,"Latest news »"
"5",5,NA,"Bursaspor",1644,572,473,599,"1965:1998",-33,2189,"Latest news »"
"6",6,NA,"MKE Ankaragücü",1700,534,492,674,"1946:2270",-324,2094,"Latest news »"
"7",7,NA,"Gençlerbirligi",1610,532,475,603,"2026:2141",-115,2071,"Latest news »"
"8",8,NA,"Altay Izmir",1353,420,417,516,"1444:1651",-207,1677,"Latest news »"
"9",9,NA,"Gaziantepspor",1028,366,265,397,"1248:1383",-135,1363,"Latest news »"
"10",10,NA,"Eskisehirspor",978,334,312,332,"1110:1101",9,1314,"Latest news »"
"11",11,NA,"Samsunspor",986,319,254,413,"1092:1305",-213,1211,"Latest news »"
"12",12,NA,"Göztepe",940,293,290,357,"1025:1143",-118,1169,"Latest news »"
"13",13,NA,"Antalyaspor",885,279,237,369,"1044:1283",-239,1074,"Latest news »"
"14",14,NA,"Istanbulspor AS",756,237,229,290,"855:945",-90,940,"Latest news »"
"15",15,NA,"Konyaspor",704,222,201,281,"839:998",-159,867,"Latest news »"
"16",16,NA,"Kocaelispor",674,225,184,265,"858:934",-76,859,"Latest news »"
"17",17,NA,"Kayserispor",703,215,204,284,"799:955",-156,849,"Latest news »"
"18",18,NA,"Denizlispor",728,217,192,319,"875:1057",-182,843,"Latest news »"
"19",19,NA,"Çaykur Rizespor",716,220,172,324,"803:1051",-248,832,"Latest news »"
"20",20,NA,"Adanaspor",704,202,213,289,"771:949",-178,819,"Latest news »"
"21",21,NA,"Boluspor",638,192,215,231,"637:709",-72,791,"Latest news »"
"22",22,NA,"Sivasspor",549,204,154,191,"754:748",6,766,"Latest news »"
"23",23,NA,"Istanbul Basaksehir",481,214,122,145,"693:560",133,764,"Latest news »"
"24",24,NA,"Kasimpasa SK",632,186,174,272,"763:952",-189,732,"Latest news »"
"25",25,NA,"Adana Demirspor",578,158,166,254,"556:801",-245,640,"Latest news »"
"26",26,NA,"Karsiyaka SK",528,152,141,235,"533:750",-217,597,"Latest news »"
"27",27,NA,"Sariyer SK",436,148,135,153,"553:551",2,579,"Latest news »"
"28",28,NA,"Zonguldak Kömürspor",454,135,148,171,"425:484",-59,553,"Latest news »"
"29",29,NA,"Mersin Idmanyurdu",472,136,134,202,"446:556",-110,540,"Latest news »"
"30",30,NA,"Malatyaspor",384,134,102,148,"507:544",-37,504,"Latest news »"
"31",31,NA,"Ankara Demirspor",418,116,153,149,"447:509",-62,501,"Latest news »"
"32",32,NA,"Vefa Istanbul",422,110,143,169,"364:514",-150,473,"Latest news »"
"33",33,NA,"Sakaryaspor",380,113,89,177,"449:586",-137,428,"Latest news »"
"34",34,NA,"Türk Telekom",374,93,134,147,"340:445",-105,413,"Latest news »"
"35",35,NA,"Orduspor",352,102,102,148,"303:420",-117,408,"Latest news »"
"36",36,NA,"Izmirspor",326,93,110,123,"313:386",-73,389,"Latest news »"
"37",37,NA,"Diyarbakirspor",362,91,84,187,"323:554",-231,357,"Latest news »"
"38",38,NA,"Karabükspor",336,96,68,172,"361:570",-209,356,"Latest news »"
"39",39,NA,"Feriköy",292,88,86,118,"257:312",-55,350,"Latest news »"
"40",40,NA,"Ankaraspor",306,84,87,135,"348:460",-112,339,"Latest news »"
"41",41,NA,"Altinordu FK",322,80,98,144,"298:435",-137,338,"Latest news »"
"42",42,NA,"Ankara Sekerspor",320,73,100,147,"309:481",-172,319,"Latest news »"
"43",43,NA,"Erciyesspor",298,78,82,138,"344:487",-143,316,"Latest news »"
"44",44,NA,"Beykozspor",264,72,94,98,"263:315",-52,310,"Latest news »"
"45",45,NA,"Fatih Karagümrük SK",249,80,69,100,"304:328",-24,309,"Latest news »"
"46",46,NA,"Akhisar Belediyespor",238,74,65,99,"286:340",-54,287,"Latest news »"
"47",47,NA,"Alanyaspor",203,80,44,79,"314:290",24,284,"Latest news »"
"48",48,NA,"Keçiörengücü",252,67,76,109,"243:334",-91,277,"Latest news »"
"49",49,NA,"Giresunspor",208,56,62,90,"185:241",-56,230,"Latest news »"
"50",50,NA,"Manisaspor",204,58,49,96,"242:303",-61,223,"Latest news »"
"51",51,NA,"Yeni Malatyaspor",170,47,46,77,"201:243",-42,187,"Latest news »"
"52",52,NA,"Vanspor AS",170,38,39,93,"165:298",-133,153,"Latest news »"
"53",53,NA,"Zeytinburnuspor",162,36,37,89,"159:290",-131,145,"Latest news »"
"54",54,NA,"Gaziantep FK",101,36,32,33,"142:138",4,140,"Latest news »"
"55",55,NA,"Elazigspor",136,35,31,70,"146:246",-100,136,"Latest news »"
"56",56,NA,"Dardanelspor",102,28,25,49,"107:154",-47,109,"Latest news »"
"57",57,NA,"Bakirköyspor",90,28,21,41,"131:135",-4,105,"Latest news »"
"58",58,NA,"Aydinspor",90,26,27,37,"105:140",-35,105,"Latest news »"
"59",59,NA,"Hatayspor",67,30,13,24,"104:96",8,103,"Latest news »"
"60",60,NA,"Erzurumspor (old)",102,25,23,54,"116:205",-89,98,"Latest news »"
"61",61,NA,"Yozgatspor",68,19,19,30,"101:113",-12,76,"Latest news »"
"62",62,NA,"BB Erzurumspor",74,18,21,35,"80:111",-31,75,"Latest news »"
"63",63,NA,"Hacettepe",68,15,17,36,"54:99",-45,62,"Latest news »"
"64",64,NA,"Balikesirspor",64,15,16,33,"66:108",-42,61,"Latest news »"
"65",65,NA,"Akcaabat Sebatspor",68,14,19,35,"85:131",-46,61,"Latest news »"
"66",66,NA,"Beyogluspor",54,13,17,24,"49:72",-23,56,"Latest news »"
"67",67,NA,"Yesildirek SK",58,13,16,29,"51:94",-43,55,"Latest news »"
"68",68,NA,"Adalet Istanbul",52,10,15,27,"38:69",-31,45,"Latest news »"
"69",69,NA,"Petrol Ofisi Ankara",34,8,5,21,"38:73",-35,29,"Latest news »"
"70",70,NA,"Bucaspor",34,6,8,20,"37:65",-28,26,"Latest news »"
"71",71,NA,"Siirtspor",34,6,6,22,"47:81",-34,24,"Latest news »"
"72",72,NA,"MKE Kirikkalespor",30,5,8,17,"21:64",-43,23,"Latest news »"
"73",73,NA,"Kahramanmarasspor",36,4,11,21,"22:71",-49,23,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Dinamo Kiev",906,661,154,91,"2119:667",1452,2137,"Latest news »"
"2",2,NA,"Shakhtar Donetsk",906,633,156,117,"2139:718",1421,2055,"Latest news »"
"3",3,NA,"Dnipro Dnipropetrovsk",764,378,200,186,"1150:745",405,1322,"Latest news »"
"4",4,NA,"Chernomorets Odessa",733,268,184,281,"858:968",-110,982,"Latest news »"
"5",5,NA,"Karpaty Lviv",794,254,229,311,"949:1145",-196,975,"Latest news »"
"6",6,NA,"Vorskla Poltava",751,256,206,289,"906:1005",-99,974,"Latest news »"
"7",7,NA,"Metalist Kharkov",573,252,146,175,"755:664",91,902,"Latest news »"
"8",8,NA,"Tavriya Simferopol (alt)",681,236,170,274,"795:873",-78,878,"Latest news »"
"9",9,NA,"FK Stal Kamjanske",616,226,167,223,"762:786",-24,845,"Latest news »"
"10",10,NA,"Metalurg Zaporizhya",702,206,183,313,"698:948",-250,791,"Latest news »"
"11",11,NA,"Zorya Lugansk",611,214,135,262,"841:939",-98,777,"Latest news »"
"12",12,NA,"FK Krivbas (old)",634,201,173,260,"633:786",-153,776,"Latest news »"
"13",13,NA,"FK Mariupol",638,197,153,288,"789:1026",-237,744,"Latest news »"
"14",14,NA,"Arsenal Kiev",568,191,156,221,"666:717",-51,729,"Latest news »"
"15",15,NA,"Volyn Lutsk",471,139,102,230,"483:750",-267,498,"Latest news »"
"16",16,NA,"FC Oleksandriya",285,89,82,114,"432:468",-36,349,"Latest news »"
"17",17,NA,"Niva Ternopil",296,93,62,141,"319:388",-69,341,"Latest news »"
"18",18,NA,"Zirka Kropyvnytskyi",248,62,58,128,"242:432",-190,241,"Latest news »"
"19",19,NA,"Torpedo Zaporizhya",210,64,42,104,"214:315",-101,234,"Latest news »"
"20",20,NA,"Spartak Ivano-Frankivsk",206,55,52,99,"215:315",-100,217,"Latest news »"
"21",21,NA,"Olimpik Donetsk",204,53,56,95,"303:450",-147,215,"Latest news »"
"22",22,NA,"FK Kremin",180,54,40,86,"182:269",-87,202,"Latest news »"
"23",23,NA,"Hoverla Uzhgorod",256,40,65,150,"186:418",-232,177,"Latest news »"
"24",24,NA,"Obolon-Brovar Kyiv",180,44,44,92,"152:253",-101,176,"Latest news »"
"25",25,NA,"NK Veres",148,40,44,64,"158:208",-50,164,"Latest news »"
"26",26,NA,"Desna Chernigov",108,46,22,40,"213:172",41,160,"Latest news »"
"27",27,NA,"FK Nyva Vinnytsia",150,42,32,76,"140:213",-73,158,"Latest news »"
"28",28,NA,"FK Lviv",138,31,37,70,"148:272",-124,130,"Latest news »"
"29",29,NA,"SK Dnipro-1",75,34,11,30,"140:135",5,113,"Latest news »"
"30",30,NA,"FK Kharkov",120,25,33,62,"94:156",-62,108,"Latest news »"
"31",31,NA,"Kolos Kovalivka",78,29,16,33,"113:148",-35,103,"Latest news »"
"32",32,NA,"MFK Mikolaiv",116,26,23,67,"100:208",-108,101,"Latest news »"
"33",33,NA,"Temp Shepetivka",86,24,16,46,"79:113",-34,88,"Latest news »"
"34",34,NA,"FK Bukovina",82,23,18,41,"69:99",-30,87,"Latest news »"
"35",35,NA,"Stal Alchevsk",86,17,21,48,"67:126",-59,72,"Latest news »"
"36",36,NA,"PFK Sevastopol",58,17,11,30,"58:91",-33,62,"Latest news »"
"37",37,NA,"Borysfen Boryspil",60,14,20,26,"40:60",-20,61,"Latest news »"
"38",38,NA,"Rukh Lviv",43,10,16,17,"43:60",-17,46,"Latest news »"
"39",39,NA,"Naftovik-Ukrnafta",48,11,11,26,"30:66",-36,44,"Latest news »"
"40",40,NA,"Inhulets Petrove",43,8,15,20,"37:67",-30,39,"Latest news »"
"41",41,NA,"FC Mynai",44,5,13,26,"28:77",-49,28,"Latest news »"
"42",42,NA,"Metalist 1925 Kharkov",18,6,1,11,"17:29",-12,19,"Latest news »"
"43",43,NA,"SK Odessa",18,3,1,14,"15:32",-17,10,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Celtic FC",4266,2676,834,756,"10840:4682",6158,8858,"Latest news »"
"2",2,NA,"Rangers FC",4115,2646,794,675,"10233:4421",5812,8722,"Latest news »"
"3",3,NA,"Heart of Midlothian",4045,1783,939,1323,"7689:6233",1456,6273,"Latest news »"
"4",4,NA,"Aberdeen FC",3902,1672,954,1276,"7043:5841",1202,5970,"Latest news »"
"5",5,NA,"Hibernian FC",3910,1494,926,1490,"6809:6562",247,5408,"Latest news »"
"6",6,NA,"Motherwell FC",3814,1417,848,1549,"6584:6951",-367,5099,"Latest news »"
"7",7,NA,"Dundee FC",3331,1253,752,1326,"5466:5738",-272,4511,"Latest news »"
"8",8,NA,"Kilmarnock FC",3290,1172,770,1348,"5498:6278",-780,4286,"Latest news »"
"9",9,NA,"St. Mirren FC",3377,1097,748,1532,"5017:6361",-1344,4039,"Latest news »"
"10",10,NA,"Partick Thistle",2948,1047,664,1237,"4658:5240",-582,3805,"Latest news »"
"11",11,NA,"Dundee United",2242,839,582,821,"3904:4005",-101,3099,"Latest news »"
"12",12,NA,"Falkirk FC",2444,815,564,1065,"3840:4460",-620,3009,"Latest news »"
"13",13,NA,"Airdrieonians FC (old)",2120,755,450,915,"3350:3897",-547,2715,"Latest news »"
"14",14,NA,"Clyde FC",2086,699,435,952,"3186:3974",-788,2532,"Latest news »"
"15",15,NA,"Third Lanark",1810,665,359,786,"3097:3391",-294,2350,"Latest news »"
"16",16,NA,"St. Johnstone FC",1871,613,466,792,"2925:3532",-607,2305,"Latest news »"
"17",17,NA,"Greenock Morton FC",1855,604,404,847,"2642:3281",-639,2216,"Latest news »"
"18",18,NA,"Hamilton Academical",1776,549,348,879,"2743:3829",-1086,1995,"Latest news »"
"19",19,NA,"Queen’s Park FC",1462,425,285,752,"2158:3055",-897,1560,"Latest news »"
"20",20,NA,"Dunfermline Athletic",1374,413,319,642,"2154:2900",-746,1558,"Latest news »"
"21",21,NA,"Ayr United",1288,420,285,583,"1868:2463",-595,1545,"Latest news »"
"22",22,NA,"Raith Rovers",1316,394,274,648,"1853:2482",-629,1456,"Latest news »"
"23",23,NA,"Queen Of The South",672,216,133,323,"1030:1455",-425,781,"Latest news »"
"24",24,NA,"Dumbarton FC",597,184,127,286,"859:1133",-274,679,"Latest news »"
"25",25,NA,"Inverness CT",456,153,123,180,"1067:1176",-109,582,"Latest news »"
"26",26,NA,"East Fife FC",452,162,89,201,"735:877",-142,575,"Latest news »"
"27",27,NA,"Cowdenbeath FC",414,149,69,196,"702:853",-151,516,"Latest news »"
"28",28,NA,"Ross County FC",326,94,82,150,"655:909",-254,364,"Latest news »"
"29",29,NA,"Livingston FC",325,91,81,153,"605:814",-209,354,"Latest news »"
"30",30,NA,"Albion Rovers",346,89,67,190,"472:740",-268,334,"Latest news »"
"31",31,NA,"Airdrieonians FC",306,82,63,161,"386:577",-191,309,"Latest news »"
"32",32,NA,"Arbroath FC",322,79,72,171,"419:693",-274,309,"Latest news »"
"33",33,NA,"Stirling Albion FC",358,69,62,227,"408:895",-487,269,"Latest news »"
